FECHA,INICIO_INTERVALO,FIN_INTERVALO,Llamadas_recibidas,Llamadas_atendidas,Nivel_Atencion,AHT,ASA_AVG_ATENDIDAS,SERVICE_LEVEL,LLAMADAS_EN_SL,PERIODO_CIERRE,PERIODO_PAGO,PERIODO_RESTO_MES,FECHA_ENVIO_RDC,FERIADO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO
2022-01-03,2022-01-03T08:00:00.000Z,2022-01-03T08:30:00.000Z,67,65,0.97,98.85,1.13,1.00,68,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T08:30:00.000Z,2022-01-03T09:00:00.000Z,705,697,0.99,227.84,50.16,0.40,309,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T09:00:00.000Z,2022-01-03T09:30:00.000Z,881,873,0.99,215.78,13.12,0.84,778,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T09:30:00.000Z,2022-01-03T10:00:00.000Z,1151,1120,0.97,223.73,43.25,0.48,581,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T10:00:00.000Z,2022-01-03T10:30:00.000Z,1260,1219,0.97,217.21,46.26,0.42,559,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T10:30:00.000Z,2022-01-03T11:00:00.000Z,1198,1066,0.89,230.85,207.00,0.09,97,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T11:00:00.000Z,2022-01-03T11:30:00.000Z,1250,1158,0.93,222.55,144.43,0.12,152,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T11:30:00.000Z,2022-01-03T12:00:00.000Z,1348,1099,0.82,234.34,349.99,0.09,106,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T12:00:00.000Z,2022-01-03T12:30:00.000Z,1170,969,0.83,231.93,325.52,0.13,137,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T12:30:00.000Z,2022-01-03T13:00:00.000Z,1110,889,0.80,234.97,385.40,0.13,122,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T13:00:00.000Z,2022-01-03T13:30:00.000Z,926,745,0.80,236.99,331.31,0.16,126,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T13:30:00.000Z,2022-01-03T14:00:00.000Z,817,708,0.87,239.24,316.14,0.13,97,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T14:00:00.000Z,2022-01-03T14:30:00.000Z,766,677,0.88,247.53,215.72,0.10,71,,1,,0,0,1,0,0,0,0,0,0
2022-01-03,2022-01-03T14:30:00.000Z,2022-01-03T15:00:00.000Z,778,661,0.85,245.20,296.22,0.08,52,,1,,0,0,1,0,0,0,0,0,0
